,word,index,frequency
786,['fly'],0,2552
1795,['anyway'],0,2552
11244,['groans'],0,2551
1071,['catch'],0,2542
1821,['waiting'],0,2537
3193,['april'],0,2529
644,['times'],0,2523
3683,['able'],0,2520
3597,['daddy'],0,2519
823,['sleep'],0,2512
1614,['news'],0,2487
2491,['smart'],0,2482
24777,['mutant'],0,2472
2410,['ow'],0,2470
1178,['special'],0,2463
2637,['line'],0,2462
808,['seems'],0,2457
110,['needs'],0,2456
1322,['gave'],0,2448
1474,['luck'],0,2446
253,['also'],0,2439
2097,['professor'],0,2437
2159,['become'],0,2435
914,['dragon'],0,2424
43336,['ninja'],0,2422
1382,['hell'],0,2417
2839,['sounds'],0,2412
3328,['rock'],0,2411
9,['perhaps'],0,2407
361,['lose'],0,2406
997,['monster'],0,2402
1769,['ball'],0,2397
423,['dance'],0,2384
12037,['99'],0,2373
1180,['death'],0,2371
568,['brought'],0,2368
98,['doctor'],0,2365
579,['send'],0,2363
360,['case'],0,2357
769,['pick'],0,2336
8412,['planet'],0,2330
156,['dream'],0,2329
562,['finally'],0,2327
4613,['j'],0,2324
602,['quick'],0,2313
2741,['shot'],0,2293
629,['attack'],0,2289
2258,['learn'],0,2284
1134,['sweet'],0,2271
1025,['glad'],0,2270
2083,['top'],0,2260
8070,['chuckles'],0,2258
1184,['forever'],0,2254
1327,['bet'],0,2253
1085,['cat'],0,2246
2307,['sound'],0,2239
8804,['screams'],0,2238
66,['wonderful'],0,2235
2035,['2'],0,2227
1023,['wonder'],0,2220
1127,['anybody'],0,2216
2689,['clear'],0,2214
1597,['anymore'],0,2213
1218,['eye'],0,2211
1542,['uncle'],0,2202
3262,['war'],0,2200
1562,['running'],0,2198
558,['speak'],0,2196
552,['order'],0,2194
3071,['george'],0,2187
11074,['alex'],0,2185
585,['tried'],0,2175
2878,['boss'],0,2175
714,['space'],0,2170
1840,['different'],0,2162
1099,['pull'],0,2157
1074,['week'],0,2153
104,['return'],0,2151
926,['careful'],0,2146
1843,['00'],0,2132
520,['hair'],0,2128
4389,['billy'],0,2123
173,['lives'],0,2120
3849,['question'],0,2107
1620,['started'],0,2104
1092,['walk'],0,2101
2368,['either'],0,2097
1550,['reason'],0,2094
576,['promise'],0,2088
774,['princess'],0,2078
1666,['sister'],0,2077
95,['child'],0,2064
3770,['body'],0,2059
1706,['hours'],0,2057
216,['voice'],0,2055
3291,['telling'],0,2054
622,['feeling'],0,2053
889,['though'],0,2049
6215,['buddy'],0,2047
2532,['six'],0,2034
1214,['past'],0,2026
1228,['fish'],0,2025
2967,['future'],0,2017
1679,['person'],0,2011
230,['black'],0,2010
2366,['blue'],0,2010
3221,['answer'],0,2004
936,['quiet'],0,1992
892,['ho'],0,1987
707,['e'],0,1963
1468,['ride'],0,1961
47688,['sabrina'],0,1960
1097,['step'],0,1959
83,['beat'],0,1951
2101,['small'],0,1950
953,['touch'],0,1948
636,['outside'],0,1946
10756,['weird'],0,1944
59,['star'],0,1934
1400,['front'],0,1930
342,['poor'],0,1928
1982,['gentlemen'],0,1926
2205,['truth'],0,1916
48403,['shredder'],0,1916
543,['dinner'],0,1912
464,['cold'],0,1908
2099,['fault'],0,1901
3384,['taken'],0,1898
8133,['parents'],0,1895
833,['dark'],0,1893
1352,['finish'],0,1893
1216,['bed'],0,1882
455,['throw'],0,1881
1697,['met'],0,1870
1199,['strong'],0,1861
2357,['between'],0,1849
3948,['10'],0,1846
4555,['police'],0,1839
8876,['turtle'],0,1835
334,['fact'],0,1827
393,['ladies'],0,1826
2520,['hmm'],0,1826
8672,['growling'],0,1826
1532,['wife'],0,1810
601,['feet'],0,1806
1492,['lucky'],0,1806
127,['don'],0,1805
541,['words'],0,1804
2883,['drive'],0,1804
666,['land'],0,1803
16063,['beeping'],0,1803
1141,['fall'],0,1793
1506,['scared'],0,1793
12528,['machine'],0,1788
2467,['seem'],0,1786
194,['somewhere'],0,1785
4594,['class'],0,1785
980,['killed'],0,1784
1822,['happening'],0,1783
1027,['ma'],0,1777
389,['living'],0,1773
9554,['groaning'],0,1772
758,['song'],0,1771
3519,['sense'],0,1771
5074,['kidding'],0,1769
2317,['drop'],0,1763
2906,['entire'],0,1762
2871,['ugh'],0,1756
2776,['dangerous'],0,1753
271,['lead'],0,1752
5871,['powers'],0,1750
1179,['sort'],0,1748
2109,['y'],0,1747
888,['sometimes'],0,1744
825,['tree'],0,1741
4136,['saved'],0,1741
1566,['asked'],0,1740
2758,['moving'],0,1738
553,['buy'],0,1737
152,['gold'],0,1735
2025,['couple'],0,1731
2027,['la'],0,1731
4891,['battle'],0,1729
920,['sign'],0,1717
1017,['wake'],0,1715
3066,['till'],0,1714
2710,['ice'],0,1704
6873,['energy'],0,1700
1294,['strange'],0,1697
1839,['sent'],0,1693
4351,['c'],0,1692
789,['mad'],0,1690
2033,['hour'],0,1684
2513,['handle'],0,1682
3410,['shoot'],0,1681
1696,['brain'],0,1677
178,['others'],0,1672
10703,['teenage'],0,1671
3754,['serious'],0,1669
1827,['terrible'],0,1666
970,['fool'],0,1648
1410,['damn'],0,1647
501,['sing'],0,1644
6419,['fighting'],0,1644
2505,['amazing'],0,1633
1213,['ring'],0,1632
4729,['charlie'],0,1630
6059,['heh'],0,1630
1396,['eh'],0,1628
4162,['count'],0,1625
477,['blow'],0,1619
1117,['sick'],0,1619
1249,['drink'],0,1616
10807,['tv'],0,1615
1897,['longer'],0,1610
180,['turned'],0,1606
1951,['force'],0,1606
702,['himself'],0,1605
2398,['piece'],0,1599
1772,['known'],0,1598
14490,['ranger'],0,1598
2987,['super'],0,1597
722,['queen'],0,1592
12794,['computer'],0,1592
1523,['suppose'],0,1587
4342,['mission'],0,1587
4674,['date'],0,1586
734,['fair'],0,1579
1415,['goodbye'],0,1577
834,['cute'],0,1575
2339,['takes'],0,1575
3818,['figure'],0,1575
1204,['kiss'],0,1572
4350,['harry'],0,1572
1500,['won'],0,1570
10909,['totally'],0,1569
1691,['happens'],0,1567
741,['white'],0,1566
3936,['ten'],0,1559
4084,['daughter'],0,1557
3256,['moon'],0,1554
1176,['spell'],0,1551
5430,['000'],0,1548
2853,['calling'],0,1543
7432,['continues'],0,1541
6991,['test'],0,1540
856,['surprise'],0,1535
3640,['choice'],0,1526
8110,['growls'],0,1526
1239,['blood'],0,1525
163,['pass'],0,1522
3099,['yo'],0,1522
1546,['unless'],0,1519
532,['leaving'],0,1516
4277,['tommy'],0,1513
2486,['join'],0,1509
2447,['ohh'],0,1508
1525,['train'],0,1507
1964,['works'],0,1501
1197,['prince'],0,1491
1848,['explain'],0,1491
420,['horse'],0,1489
1297,['fix'],0,1486
4025,['3'],0,1486
7183,['system'],0,1486
2966,['joe'],0,1484
48,['worked'],0,1482
567,['forgot'],0,1482
6999,['awesome'],0,1479
3613,['rather'],0,1478
1676,['smell'],0,1477
1245,['fear'],0,1472
2252,['absolutely'],0,1471
1490,['busy'],0,1469
3142,['protect'],0,1468
897,['doc'],0,1464
447,['straight'],0,1463
113,['attention'],0,1459
855,['clean'],0,1459
1624,['flying'],0,1457
6300,['santa'],0,1451
4204,['general'],0,1450
10614,['fred'],0,1448
2807,['movie'],0,1444
3757,['humans'],0,1440
1876,['certainly'],0,1438
2646,['ones'],0,1437
2478,['whoo'],0,1435
2858,['birthday'],0,1434
2863,['possible'],0,1430
5,['picture'],0,1421
752,['ahh'],0,1419
2137,['worth'],0,1419
465,['hungry'],0,1418
730,['hide'],0,1418
124,['none'],0,1415
1791,['teach'],0,1411
2185,['street'],0,1409
1718,['except'],0,1408
4029,['stick'],0,1407
2688,['report'],0,1405
2525,['speaking'],0,1404
2772,['sea'],0,1402
2897,['grab'],0,1402
105,['country'],0,1401
1079,['worse'],0,1398
3732,['meant'],0,1395
728,['lovely'],0,1393
6189,['agent'],0,1392
2953,['act'],0,1390
3573,['missed'],0,1386
4518,['key'],0,1385
1018,['aw'],0,1381
48357,['donatello'],0,1380
359,['gun'],0,1379
4519,['cheering'],0,1379
3453,['building'],0,1374
2753,['b'],0,1371
3700,['5'],0,1371
3609,['less'],0,1367
367,['hero'],0,1364
6747,['normal'],0,1364
2014,['sun'],0,1361
2918,['bear'],0,1361
6311,['pizza'],0,1360
2924,['cover'],0,1359
394,['proud'],0,1356
19954,['scooby'],0,1356
835,['seven'],0,1354
18474,['michelangelo'],0,1353
780,['mama'],0,1352
1342,['foot'],0,1352
350,['bird'],0,1347
1968,['seconds'],0,1347
1690,['road'],0,1341
2477,['hoo'],0,1341
2985,['present'],0,1341
9566,['sword'],0,1338
1477,['aunt'],0,1337
4617,['yelling'],0,1337
2626,['escape'],0,1334
6763,['warrior'],0,1334
516,['singing'],0,1329
2864,['mistake'],0,1328
24949,['jake'],0,1327
6115,['slow'],0,1326
1661,['history'],0,1325
2149,['20'],0,1325
4406,['box'],0,1325
1442,['danger'],0,1319
5887,['shouting'],0,1316
12467,['ii'],0,1314
2764,['jump'],0,1312
1288,['w'],0,1311
254,['giving'],0,1307
3927,['wear'],0,1305
6708,['leader'],0,1305
794,['anywhere'],0,1304
1955,['changed'],0,1303
876,['trick'],0,1301
243,['wind'],0,1300
4844,['crowd'],0,1294
3052,['simple'],0,1291
4226,['island'],0,1291
2951,['broken'],0,1284
824,['ground'],0,1283
6304,['mess'],0,1283
1995,['company'],0,1282
2034,['lunch'],0,1282
2125,['finished'],0,1281
1882,['honor'],0,1280
2534,['p'],0,1280
128,['charge'],0,1275
186,['deep'],0,1275
647,['calm'],0,1275
2489,['besides'],0,1274
1770,['reach'],0,1271
1524,['boat'],0,1268
2660,['race'],0,1268
6287,['relax'],0,1268
6209,['harvey'],0,1266
4211,['spirit'],0,1264
3901,['short'],0,1261
377,['caught'],0,1260
1836,['bell'],0,1260
52744,['zordon'],0,1260
1359,['shit'],0,1258
1385,['married'],0,1257
2019,['knock'],0,1252
3301,['worried'],0,1252
6004,['beast'],0,1250
299,['mouth'],0,1248
4807,['stuck'],0,1246
2060,['command'],0,1245
5128,['needed'],0,1238
2383,['expect'],0,1236
1329,['darling'],0,1234
4979,['security'],0,1232
1539,['destroyed'],0,1231
2653,['double'],0,1229
219,['sky'],0,1228
354,['quit'],0,1227
584,['office'],0,1227
330,['field'],0,1226
1849,['powerful'],0,1223
3094,['prepare'],0,1221
6072,['yi'],0,1221
372,['looked'],0,1218
2850,['da'],0,1217
3298,['aye'],0,1216
3003,['impossible'],0,1214
3250,['completely'],0,1208
1496,['using'],0,1207
6240,['san'],0,1206
8099,['missing'],0,1206
723,['wall'],0,1204
6953,['giant'],0,1204
