Word,Level
bankrupt,C1
check,A2
asset,C1
award,B2
bid,C2
calm,B1
clear,B1
arid,C2
bronze,C2
choice,B1
adapt,B2
aged,A2
black,A2
blond,A2
afraid,A2
angry,A2
afraid,B1
bad,B1
brave,B1
brilliant,B1
calm,B1
certain,B1
cold,B1
aware,B2
awkward,B2
bitter,B2
bitter,B2
bitter,B2
bold,B2
bright,B2
bright,B2
clumsy,B2
alert,C1
antisocial,C1
able,C2
abrupt,C2
affectionate,C2
blank,C2
blunt,C2
belief,B2
boost,B2
close,A2
close,B1
away,C1
broken,A2
bounce,C2
bound,C1
abroad,B1
aboard,C1
busy,A1
busy,A2
chief,B2
available,A2
breakable,B2
acceptable,C1
affordable,C1
changeable,C1
accountable,C2
attainable,C2
annual,B1
central,B1
accidental,B2
analytical,C1
bilingual,C1
brutal,C1
central,C1
central,C1
central,C2
classical,C2
closed,A1
abandoned,B2
abandoned,B2
armed,B2
balanced,B2
accepted,C1
acclaimed,C1
alleged,C1
biased,C1
allied,C2
better,A2
accessible,B2
accessible,C2
artistic,B2
athletic,B2
chaotic,C1
automatic,C2
automatic,C2
characteristic,C2
burning,B1
challenging,B1
beginning,A2
aspiration,C2
activity,A2
active,B1
active,B1
active,B2
alternative,B2
alternative,B2
attractive,B2
addictive,C1
administrative,C1
aggressive,C1
abusive,C2
carefully,A2
clearly,A2
accidentally,B1
briefly,B1
accurately,B2
actively,B2
annually,B2
appropriately,B2
artificially,B2
automatically,B2
basically,B2
casually,B2
broadly,C1
closely,C1
closely,C1
anchor,C2
anchor,C2
ambitious,B2
ambiguous,C2
analogous,C2
anonymous,C2
bossy,B2
bloody,C1
chilly,C1
all right,A1
busy,A1
cheap,A1
cold,A1
adult,A2
all right,A2
alone,A2
big,A2
clear,A2
absent,B1
alike,B1
all right,B1
bald,B1
bright,B1
certain,B1
certain,B1
clear,B1
abstract,B2
actual,B2
apparent,B2
awkward,B2
bad,B2
bitter,B2
casual,B2
chief,B2
close,B2
colorful,B2
adult,C1
alarming,C1
amateur,C1
ample,C1
antisocial,C1
apparent,C1
bad,C1
bare,C1
cheap,C1
civil,C1
clear,C1
close,C1
abrupt,C2
ahead,C2
alive,C2
alive,C2
alone,C2
arbitrary,C2
awkward,C2
backward,C2
bare,C2
bare,C2
bleak,C2
blunt,C2
broad-minded,C2
bronze,C2
bronze,C2
carefree,C2
circular,C2
clean,C2
close,C2
coherent,C2
about,A1
again,A1
also,A1
always,A1
a.m.,A1
best,A1
after,A2
afterward,A2
again,A2
ago,A2
all,A2
almost,A2
already,A2
always,A2
always,A2
anymore,A2
anywhere,A2
away,A2
before,A2
above,B1
ahead,B1
ahead,B1
along,B1
along,B1
aloud,B1
already,B1
altogether,B1
any,B1
around,B1
back,B1
backward,B1
besides,B1
best,B1
ahead,B2
alike,B2
alike,B2
along,B2
altogether,B2
altogether,B2
always,B2
apart,B2
apart,B2
aside,B2
aside,B2
away,B2
back,B2
back,B2
back,B2
alongside,C1
behind,C1
between,C1
between,C1
above,C2
abruptly,C2
allegedly,C2
around,C2
away,C2
below,C2
beyond,C2
clear,C2
bottom,A2
choice,B1
choice,B1
background,B2
balance,B2
character,B2
circumstance,B2
aid,C1
alert,C1
bronze,C1
bump,C1
army,C2
belief,C2
bundle,C2
casualty,C2
cheer,C2
closure,C2
accompany,B1
affect,B2
beat,B2
burn,B2
cast,B2
charge,B2
alternate,C1
bear,C1
channel,C2
charm,C2
close,C2
coin,C2
establishment,C1
contract,C2
conclude,C1
exam,A2
discipline,C2
expenditure,C2
descend,B2
dad,A1
depart,B1
duration,C1
elapse,C2
excel,C2
consume,B2
comprise,C1
comprise,C1
desire,C1
employ,C1
engage,C1
enhance,C1
evaluate,C1
facilitate,C1
compromise,C2
deem,C2
disclose,C2
endorse,C2
enjoy,C2
eradicate,C2
erode,C2
examine,C2
exemplify,C2
exercise,C2
commence,C2
crush,C2
dump,C2
devil,C2
disapproval,C1
dismissal,C1
dissatisfaction,B2
disability,B2
disagreement,B2
dishonesty,B2
disorder,C1
disagree,B1
discourage,B2
disrespect,C1
disgust,C2
disapprove,B2
dislike,B1
commercial,B1
criminal,B1
disposal,B2
conference,B1
confidence,B2
dancer,A2
dishwasher,B1
customer,A2
diver,B1
consumer,B2
defender,B2
counter,C2
computer,A1
farmer,A2
employer,B1
feeling,B1
ending,B1
feeling,B1
feeling,B2
feeling,B1
crossing,B1
farming,B1
composition,B2
edition,B2
composition,C2
composition,C2
exhibition,B1
condition,B2
complexion,C2
complication,C2
constitution,C2
examination,B2
construction,B2
definition,B2
expression,B2
communication,B1
conversation,A1
description,B1
discussion,B1
explanation,B1
confession,B2
confirmation,B2
expression,B2
demonstration,C1
conviction,C2
devastation,C2
examination,A2
construction,B2
depression,C2
conservation,B2
evolution,B2
decision,B1
cooperation,B2
contribution,B2
demonstration,C1
conclusion,B1
disposition,C2
determination,B2
exhaustion,B2
confusion,B2
constitution,C1
election,B1
competition,A2
division,B2
destination,B1
expedition,B1
connection,B2
congestion,C1
corporation,B2
division,B2
competition,B2
criticism,B2
cyclist,B1
facility,B1
creativity,B2
curiosity,B2
community,B2
community,B2
electricity,A2
entertainment,B1
encouragement,B2
development,B1
disappointment,B1
disappointment,B1
excitement,B1
enjoyment,B2
commitment,B2
embarrassment,B2
equipment,B1
employment,B1
consciousness,B2
eagerness,B2
coolness,C2
coolness,C2
elevator,A2
escalator,B2
competitor,B1
director,B1
delivery,B1
discovery,B2
contraception,C2
extremist,C2
contraceptive,C2
cow,A1
dog,A1
dinosaur,A2
duck,A2
elephant,A2
creature,B1
dolphin,B1
donkey,B1
crocodile,B2
deer,B2
eagle,B2
egg,B2
feather,B2
cry,C2
comic,A2
concert,A2
dance,A2
drum,A2
display,B1
documentary,B1
festival,B1
display,B2
episode,B2
extra,C1
feature,C2
dance,A2
culture,B1
fiction,B1
coverage,C1
comedy,B1
drama,B1
craft,B2
contents,B1
contents,B2
compose,B2
conduct,B2
ear,A1
eye,A1
face,A1
cough,B1
cut,B1
diet,B1
elbow,B1
cure,B2
dose,B2
drug,B2
drug,B2
eyebrow,B2
eyelid,B2
corpse,C2
disk,C2
donor,C2
eyesight,B2
digestion,C1
diarrhea,C2
disease,B1
earache,B1
fever,B1
deodorant,C1
diagnosis,C2
do,A2
faint,B2
cut,B1
cure,B2
digest,C1
diagnose,C2
develop,B2
conceive,C2
dress,A1
earring,A2
denim,B2
costume,B2
dress,B1
cross,A1
document,A2
envelope,A2
comma,B1
comment,B1
consonant,B1
cry,B1
demand,B1
diagram,B1
entry,B1
excuse,B1
excuse,B1
command,B2
dash,B2
draft,B2
exclamation point,B2
contact,B1
data,B2
feedback,B2
complaint,B1
compromise,B2
emphasis,B2
dialect,C2
dialogue,C2
dispute,C2
directions,A2
complain,B1
count,B1
communicate,B2
compromise,B2
describe,A2
discuss,A2
convince,B1
date,B1
demand,B1
encourage,B1
encourage,B1
excuse,B1
confirm,B2
defend,B2
define,B2
deny,B2
emphasize,B2
erase,B2
excuse,B2
expose,B2
express,B2
condemn,C2
explain,A2
communicate,B1
confirm,B1
cry,B1
comment,B2
confess,B2
decline,B2
exclaim,C2
crime,B1
crime,B1
counsel,C2
custody,C2
court,B2
defend,C1
convict,C2
degree,A2
dozen,B1
drop,B1
extra,B1
curve,B2
diamond,B2
dimension,B2
disk,B2
fake,C2
cream,A2
depth,B1
distance,B1
degree,B2
couple,B1
drop,B2
extent,B2
drop,B2
course,A1
dictionary,A1
diploma,A2
exercise,A2
curriculum,B1
degree,B1
exchange,B1
credit,B2
dissertation,C1
discipline,B2
fail,A2
cracker,A1
cup,A1
cookie,A2
course,A2
dish,A2
dish,A2
drink,A2
date,C1
feast,C1
core,C2
dash,C2
cream,A2
fast food,A2
corn,B1
dinner,A1
drink,A1
egg,A1
curry,A2
dessert,A2
cucumber,B1
eggplant,B2
fat,B2
dice,C2
desk,A1
dining room,A1
door,A1
farm,A1
curtain,A2
drawer,A2
entrance,A2
exit,A2
cottage,B1
cupboard,B1
cushion,B1
faucet,B1
corridor,B2
estate,B2
fence,B2
doorway,C2
facilities,B2
dollar,A1
euro,A2
exchange rate,B1
fee,B1
debit,B2
debt,B2
economy,B2
crash,C1
deposit,C1
deposit,C1
dime,C1
donor,C2
debt,B2
cover,C1
credit,B1
currency,B1
expense,B2
disposable income,C2
expenses,C1
crash,C1
debit,B2
compensate,C1
cover,C1
cover,C1
deposit,C1
field,A2
continent,B1
district,B1
earthquake,B2
element,B2
deposit,C2
countryside,B1
copper,B2
daylight,B2
earth,B2
coral,C2
desert,A2
fall,A2
dawn,B2
diamond,B2
earth,B1
erupt,C2
erode,C2
experiment,B1
estimate,B2
consumption,C1
effort,B1
exchange,B1
conflict,B2
escape,C1
dash,B2
fall,A2
escape,B1
cooperate,B2
cope,B2
crawl,B2
dash,B2
experiment,B2
